epoch,f1,loss,pr_auc,precision,recall,val_f1,val_loss,val_pr_auc,val_precision,val_recall
0,0.5246533155441284,0.5092318058013916,0.6235517263412476,0.37231990694999695,0.8879597187042236,0.6151511073112488,0.3930920958518982,0.7368639707565308,0.4596177637577057,0.9297890663146973
1,0.5890156626701355,0.37406986951828003,0.678844690322876,0.42716801166534424,0.9483201503753662,0.6194674372673035,0.4083106815814972,0.7196140885353088,0.4677641689777374,0.9168001413345337
2,0.0,0.0,0.0,0.0,0.0,0.6194674372673035,0.4083106815814972,0.7196140885353088,0.4677641689777374,0.9168001413345337
3,0.5911158919334412,0.36943280696868896,0.6557580232620239,0.42921343445777893,0.9491376280784607,0.6328675150871277,0.42465847730636597,0.7265700697898865,0.48592013120651245,0.9072205424308777
4,0.0,0.0,0.0,0.0,0.0,0.6328675150871277,0.42465847730636597,0.7265700697898865,0.48592013120651245,0.9072205424308777
5,0.6239854097366333,0.3657051622867584,0.7419018745422363,0.464417040348053,0.9506009817123413,0.6881479620933533,0.40816760063171387,0.7620941996574402,0.5519011616706848,0.9137150049209595
6,0.0,0.0,0.0,0.0,0.0,0.6881479620933533,0.40816760063171387,0.7620941996574402,0.5519011616706848,0.9137150049209595
7,0.6428576707839966,0.36384204030036926,0.7512480020523071,0.48575320839881897,0.9501639008522034,0.6883241534233093,0.415645033121109,0.761052668094635,0.5551820397377014,0.905471682548523
8,0.0,0.0,0.0,0.0,0.0,0.6883241534233093,0.415645033121109,0.761052668094635,0.5551820397377014,0.905471682548523
9,0.6460514664649963,0.3595866858959198,0.7582064867019653,0.4891175329685211,0.9512662887573242,0.6873922944068909,0.3971831500530243,0.7646669745445251,0.5497081875801086,0.917094886302948
10,0.0,0.0,0.0,0.0,0.0,0.6873922944068909,0.3971831500530243,0.7646669745445251,0.5497081875801086,0.917094886302948
11,0.6468127369880676,0.3602164089679718,0.7584867477416992,0.4902347922325134,0.9503478407859802,0.6974161267280579,0.40801480412483215,0.7649851441383362,0.5648842453956604,0.9111997485160828
12,0.0,0.0,0.0,0.0,0.0,0.6974161267280579,0.40801480412483215,0.7649851441383362,0.5648842453956604,0.9111997485160828
13,0.6476395130157471,0.3573474586009979,0.761687695980072,0.49097463488578796,0.9511376619338989,0.6949308514595032,0.39060112833976746,0.7691298127174377,0.5574869513511658,0.9223219156265259
14,0.0,0.0,0.0,0.0,0.0,0.6949308514595032,0.39060112833976746,0.7691298127174377,0.5574869513511658,0.9223219156265259
15,0.6508862376213074,0.3520571291446686,0.7663295269012451,0.49445536732673645,0.9521030783653259,0.6981297731399536,0.4205459654331207,0.7685819864273071,0.5719250440597534,0.8958036303520203
16,0.0,0.0,0.0,0.0,0.0,0.6981297731399536,0.4205459654331207,0.7685819864273071,0.5719250440597534,0.8958036303520203
17,0.6496520042419434,0.3533010482788086,0.7687536478042603,0.4929729402065277,0.952324390411377,0.695919930934906,0.3916633427143097,0.7678799629211426,0.5615118145942688,0.9149234890937805
18,0.0,0.0,0.0,0.0,0.0,0.695919930934906,0.3916633427143097,0.7678799629211426,0.5615118145942688,0.9149234890937805
19,0.6505207419395447,0.35052260756492615,0.7692512273788452,0.49399083852767944,0.9522621631622314,0.7040046453475952,0.3953579366207123,0.7731263637542725,0.57523113489151,0.907063364982605
20,0.0,0.0,0.0,0.0,0.0,0.7040046453475952,0.3953579366207123,0.7731263637542725,0.57523113489151,0.907063364982605
21,0.6518450975418091,0.3504302501678467,0.7692211270332336,0.49548426270484924,0.9523935317993164,0.6957176923751831,0.38248682022094727,0.7769743800163269,0.5591508746147156,0.9205533266067505
22,0.0,0.0,0.0,0.0,0.0,0.6957176923751831,0.38248682022094727,0.7769743800163269,0.5591508746147156,0.9205533266067505
23,0.6531684994697571,0.3483974039554596,0.771687924861908,0.4970352053642273,0.9523202180862427,0.7075373530387878,0.40587130188941956,0.7774834632873535,0.581703782081604,0.9028385281562805
24,0.0,0.0,0.0,0.0,0.0,0.7075373530387878,0.40587130188941956,0.7774834632873535,0.581703782081604,0.9028385281562805
25,0.6551617383956909,0.34513649344444275,0.7762616872787476,0.49917441606521606,0.952949583530426,0.7029414176940918,0.3952314257621765,0.7785518765449524,0.5722821950912476,0.9109148383140564
26,0.0,0.0,0.0,0.0,0.0,0.7029414176940918,0.3952314257621765,0.7785518765449524,0.5722821950912476,0.9109148383140564
27,0.6554467082023621,0.34469109773635864,0.7757930755615234,0.49950265884399414,0.9529592394828796,0.6963376402854919,0.3757513463497162,0.7809839248657227,0.5583932399749756,0.9247978329658508
28,0.0,0.0,0.0,0.0,0.0,0.6963376402854919,0.3757513463497162,0.7809839248657227,0.5583932399749756,0.9247978329658508
29,0.6562867760658264,0.3425338566303253,0.7770237922668457,0.5002211928367615,0.953895628452301,0.7094294428825378,0.3971794843673706,0.7807307839393616,0.5833765864372253,0.9049705862998962
30,0.0,0.0,0.0,0.0,0.0,0.7094294428825378,0.3971794843673706,0.7807307839393616,0.5833765864372253,0.9049705862998962
31,0.656114399433136,0.3426665961742401,0.7767499089241028,0.5000304579734802,0.9538610577583313,0.7035750150680542,0.39217066764831543,0.7762415409088135,0.5730369687080383,0.911130964756012
32,0.0,0.0,0.0,0.0,0.0,0.7035750150680542,0.39217066764831543,0.7762415409088135,0.5730369687080383,0.911130964756012
33,0.6575512886047363,0.3409874141216278,0.7791270017623901,0.5016957521438599,0.9538818001747131,0.706524133682251,0.40227365493774414,0.7772828936576843,0.5792725682258606,0.9054225087165833
34,0.0,0.0,0.0,0.0,0.0,0.706524133682251,0.40227365493774414,0.7772828936576843,0.5792725682258606,0.9054225087165833
35,0.6588155031204224,0.3394416570663452,0.7796266078948975,0.5029723048210144,0.9545899629592896,0.7026742100715637,0.38592422008514404,0.7777459621429443,0.5696017742156982,0.9168787002563477
36,0.0,0.0,0.0,0.0,0.0,0.7026742100715637,0.38592422008514404,0.7777459621429443,0.5696017742156982,0.9168787002563477
37,0.6598544120788574,0.33629077672958374,0.7821747660636902,0.5040267109870911,0.9551570415496826,0.6860184073448181,0.36515024304389954,0.7780744433403015,0.5427467823028564,0.9320586919784546
38,0.0,0.0,0.0,0.0,0.0,0.6860184073448181,0.36515024304389954,0.7780744433403015,0.5427467823028564,0.9320586919784546
39,0.6616023182868958,0.3346039652824402,0.7832580804824829,0.5059210062026978,0.9556840062141418,0.7090603113174438,0.41765496134757996,0.7807137370109558,0.5862401127815247,0.8969826698303223
40,0.0,0.0,0.0,0.0,0.0,0.7090603113174438,0.41765496134757996,0.7807137370109558,0.5862401127815247,0.8969826698303223
41,0.6629487872123718,0.3329865336418152,0.7844729423522949,0.5073735117912292,0.9561238884925842,0.6896070241928101,0.3842800557613373,0.7763068675994873,0.548936665058136,0.9272148609161377
42,0.0,0.0,0.0,0.0,0.0,0.6896070241928101,0.3842800557613373,0.7763068675994873,0.548936665058136,0.9272148609161377
43,0.6629207134246826,0.3322957754135132,0.7846806645393372,0.5072599649429321,0.9564101696014404,0.7069608569145203,0.39725714921951294,0.7800325751304626,0.579839825630188,0.905471682548523
44,0.0,0.0,0.0,0.0,0.0,0.7069608569145203,0.39725714921951294,0.7800325751304626,0.579839825630188,0.905471682548523
45,0.6633923649787903,0.3300444781780243,0.7862234711647034,0.5076190233230591,0.957097589969635,0.6923770308494568,0.3731401264667511,0.7809838056564331,0.5522046089172363,0.927922248840332
46,0.0,0.0,0.0,0.0,0.0,0.6923770308494568,0.3731401264667511,0.7809838056564331,0.5522046089172363,0.927922248840332
47,0.6638022661209106,0.3290858864784241,0.7859029173851013,0.5080671310424805,0.9572110176086426,0.7100301384925842,0.4317445158958435,0.7784498929977417,0.5919921398162842,0.8868626952171326
48,0.0,0.0,0.0,0.0,0.0,0.7100301384925842,0.4317445158958435,0.7784498929977417,0.5919921398162842,0.8868626952171326
49,0.6646916270256042,0.3287668228149414,0.7882187366485596,0.5090699791908264,0.9573521018028259,0.700559675693512,0.37531572580337524,0.7832252979278564,0.5656776428222656,0.919904887676239
